album_name,artists,won
Supernatural,Santana,True
FanMail,TLC,False
Fly,The Chicks,False
Millennium,Backstreet Boys,False
When I Look in Your Eyes,Diana Krall,False
Two Against Nature,Steely Dan,True
Kid A,Radiohead,False
The Marshall Mathers LP,Eminem,False
Midnite Vultures,Beck,False
You're the One,Paul Simon,False
"O Brother, Where Art Thou? (Original Motion Picture Soundtrack)",Various Artists,True
Acoustic Soul,India.Arie,False
All That You Can't Leave Behind,U2,False
Love and Theft,Bob Dylan,False
Stankonia,OutKast,False
Come Away with Me,Norah Jones,True
The Eminem Show,Eminem,False
Home,The Chicks,False
Nellyville,Nelly,False
The Rising,Bruce Springsteen,False
Speakerboxxx/The Love Below,OutKast,True
Elephant,The White Stripes,False
Fallen,Evanescence,False
Justified,Justin Timberlake,False
Under Construction,Missy Elliott,False
Genius Loves Company,Ray Charles,True
American Idiot,Green Day,False
The College Dropout,Kanye West,False
Confessions,Usher,False
The Diary of Alicia Keys,Alicia Keys,False
How to Dismantle an Atomic Bomb,U2,True
Chaos and Creation in the Backyard,Paul McCartney,False
The Emancipation of Mimi,Mariah Carey,False
Late Registration,Kanye West,False
Love. Angel. Music. Baby.,Gwen Stefani,False
Taking the Long Way,The Chicks,True
Continuum,John Mayer,False
FutureSex/LoveSounds,Justin Timberlake,False
St. Elsewhere,Gnarls Barkley,False
Stadium Arcadium,Red Hot Chili Peppers,False
River: The Joni Letters,Herbie Hancock,True
Back to Black,Amy Winehouse,False
"Echoes, Silence, Patience & Grace",Foo Fighters,False
Graduation,Kanye West,False
These Days,Vince Gill,False
Raising Sand,Robert Plant,True
In Rainbows,Radiohead,False
Tha Carter III,Lil Wayne,False
Viva la Vida or Death and All His Friends,Coldplay,False
Year of the Gentleman,Ne-Yo,False
Fearless,Taylor Swift,True
Big Whiskey & the GrooGrux King,Dave Matthews Band,False
The E.N.D.,Black Eyed Peas,False
The Fame,Lady Gaga,False
I Am... Sasha Fierce,Beyoncé,False
The Suburbs,Arcade Fire,True
The Fame Monster,Lady Gaga,False
Need You Now,Lady Antebellum,False
Recovery,Eminem,False
Teenage Dream,Katy Perry,False
21,Adele,True
Born This Way,Lady Gaga,False
Doo-Wops & Hooligans,Bruno Mars,False
Loud,Rihanna,False
Wasting Light,Foo Fighters,False
Babel,Mumford & Sons,True
Blunderbuss,Jack White,False
Channel Orange,Frank Ocean,False
El Camino,The Black Keys,False
Some Nights,Fun.,False
Random Access Memories,Daft Punk,True
The Blessed Unrest,Sara Bareilles,False
"Good Kid, M.A.A.D City",Kendrick Lamar,False
The Heist,Macklemore & Ryan Lewis,False
Red,Taylor Swift,False
Morning Phase,Beck,True
Beyoncé,Beyoncé,False
G I R L,Pharrell Williams,False
In the Lonely Hour,Sam Smith,False
x,Ed Sheeran,False
1989,Taylor Swift,True
Beauty Behind the Madness,The Weeknd,False
Sound & Color,Alabama Shakes,False
To Pimp a Butterfly,Kendrick Lamar,False
Traveller,Chris Stapleton,False
25,Adele,True
Lemonade,Beyoncé,False
Purpose,Justin Bieber,False
A Sailor's Guide to Earth,Sturgill Simpson,False
Views,Drake,False
24K Magic,Bruno Mars,True
"""Awaken, My Love!""",Childish Gambino,False
DAMN.,Kendrick Lamar,False
4:44,Jay-Z,False
Melodrama,Lorde,False
Golden Hour,Kacey Musgraves,True
Beerbongs & Bentleys,Post Malone,False
Black Panther The Album Music From And Inspired By,Various Artists,False
"By the Way, I Forgive You",Brandi Carlile,False
Dirty Computer,Janelle Monáe,False
H.E.R.,H.E.R.,False
Invasion of Privacy,Cardi B,False
Scorpion,Drake,False
"When We All Fall Asleep, Where Do We Go?",Billie Eilish,True
Cuz I Love You,Lizzo,False
Father of the Bride,Vampire Weekend,False
"I, I",Bon Iver,False
I Used to Know Her,H.E.R.,False
Norman Fucking Rockwell!,Lana Del Rey,False
7,Lil Nas X,False
"Thank U, Next",Ariana Grande,False
Folklore,Taylor Swift,True
Black Pumas (Deluxe Edition),Black Pumas,False
Chilombo,Jhené Aiko,False
Djesse Vol. 3,Jacob Collier,False
Everyday Life,Coldplay,False
Future Nostalgia,Dua Lipa,False
Hollywood's Bleeding,Post Malone,False
Women in Music Pt. III,Haim,False
We Are,Jon Batiste,True
Back of My Mind,H.E.R.,False
Donda,Kanye West,False
Evermore,Taylor Swift,False
Happier Than Ever,Billie Eilish,False
Justice (Triple Chucks Deluxe),Justin Bieber,False
Love for Sale,Tony Bennett,False
Montero,Lil Nas X,False
Planet Her (Deluxe),Doja Cat,False
Sour,Olivia Rodrigo,False
Harry's House,Harry Styles,True
30,Adele,False
Good Morning Gorgeous (Deluxe),Mary J. Blige,False
In These Silent Days,Brandi Carlile,False
Mr. Morale & the Big Steppers,Kendrick Lamar,False
Music of the Spheres,Coldplay,False
Renaissance,Beyoncé,False
Special,Lizzo,False
Un Verano Sin Ti,Bad Bunny,False
Voyage,ABBA,False
